name;;source;;;Imager Center;;;Imager Top;;;Imager Right;;;
;x;y;z;x;y;z;x;y;z;x;y;z
G:\Tomo\2023-07\jmletang\Wire_17.54um_2mmCu\Proj\img_00116.tif;56.9673;-167.077;21.5876;-430.255;-163.026;-163.043;-429.44;-19.632;-162.048;-377.503;-162.401;-296.387;
G:\Tomo\2023-07\jmletang\Wire_17.54um_2mmCu\Proj\img_00117.tif;57.0589;-167.077;21.3442;-430.947;-163.026;-161.205;-430.127;-19.632;-160.214;-378.765;-162.401;-294.773;
G:\Tomo\2023-07\jmletang\Wire_17.54um_2mmCu\Proj\img_00118.tif;57.1495;-167.077;21.1005;-431.631;-163.026;-159.365;-430.807;-19.632;-158.376;-380.019;-162.401;-293.153;
G:\Tomo\2023-07\jmletang\Wire_17.54um_2mmCu\Proj\img_00119.tif;57.2391;-167.077;20.8563;-432.307;-163.026;-157.521;-431.479;-19.632;-156.536;-381.267;-162.401;-291.529;
G:\Tomo\2023-07\jmletang\Wire_17.54um_2mmCu\Proj\img_00120.tif;57.3276;-167.077;20.6118;-432.975;-163.026;-155.674;-432.144;-19.632;-154.693;-382.508;-162.401;-289.899;
G:\Tomo\2023-07\jmletang\Wire_17.54um_2mmCu\Proj\img_00121.tif;57.415;-167.077;20.3669;-433.636;-163.026;-153.824;-432.8;-19.632;-152.847;-383.742;-162.401;-288.263;
G:\Tomo\2023-07\jmletang\Wire_17.54um_2mmCu\Proj\img_00122.tif;57.5014;-167.077;20.1217;-434.289;-163.026;-151.972;-433.448;-19.632;-150.998;-384.969;-162.401;-286.623;
G:\Tomo\2023-07\jmletang\Wire_17.54um_2mmCu\Proj\img_00123.tif;57.5868;-167.077;19.8761;-434.933;-163.026;-150.117;-434.089;-19.632;-149.146;-386.189;-162.401;-284.977;
G:\Tomo\2023-07\jmletang\Wire_17.54um_2mmCu\Proj\img_00124.tif;57.6711;-167.077;19.6301;-435.57;-163.026;-148.259;-434.722;-19.632;-147.292;-387.402;-162.401;-283.326;
G:\Tomo\2023-07\jmletang\Wire_17.54um_2mmCu\Proj\img_00125.tif;57.7544;-167.077;19.3837;-436.199;-163.026;-146.399;-435.346;-19.632;-145.435;-388.608;-162.401;-281.67;
G:\Tomo\2023-07\jmletang\Wire_17.54um_2mmCu\Proj\img_00126.tif;57.8366;-167.077;19.137;-436.82;-163.026;-144.535;-435.963;-19.632;-143.576;-389.807;-162.401;-280.008;
G:\Tomo\2023-07\jmletang\Wire_17.54um_2mmCu\Proj\img_00127.tif;57.9178;-167.077;18.89;-437.433;-163.026;-142.669;-436.572;-19.632;-141.713;-390.998;-162.401;-278.342;
