name;;source;;;Imager Center;;;Imager Top;;;Imager Right;;;
;x;y;z;x;y;z;x;y;z;x;y;z
G:\Tomo\2023-07\jmletang\JeanYvesPart\Proj\img_00088.tif;145.602;-147.67;269.601;-237.985;-141.345;-440.66;-238.011;74.0462;-438.728;-143.452;-140.877;-491.63;
G:\Tomo\2023-07\jmletang\JeanYvesPart\Proj\img_00089.tif;147.112;-147.67;268.78;-240.454;-141.345;-439.318;-240.469;74.0462;-437.386;-146.208;-140.877;-490.818;
G:\Tomo\2023-07\jmletang\JeanYvesPart\Proj\img_00090.tif;148.618;-147.67;267.951;-242.914;-141.345;-437.963;-242.919;74.0462;-436.03;-148.959;-140.877;-489.99;
G:\Tomo\2023-07\jmletang\JeanYvesPart\Proj\img_00091.tif;150.119;-147.67;267.113;-245.368;-141.345;-436.593;-245.361;74.0462;-434.661;-151.705;-140.877;-489.147;
G:\Tomo\2023-07\jmletang\JeanYvesPart\Proj\img_00092.tif;151.615;-147.67;266.266;-247.813;-141.345;-435.21;-247.796;74.0462;-433.277;-154.447;-140.877;-488.288;
G:\Tomo\2023-07\jmletang\JeanYvesPart\Proj\img_00093.tif;153.106;-147.67;265.412;-250.251;-141.345;-433.812;-250.222;74.0462;-431.88;-157.184;-140.877;-487.414;
G:\Tomo\2023-07\jmletang\JeanYvesPart\Proj\img_00094.tif;154.593;-147.67;264.549;-252.68;-141.345;-432.402;-252.641;74.0461;-430.47;-159.916;-140.877;-486.524;
G:\Tomo\2023-07\jmletang\JeanYvesPart\Proj\img_00095.tif;156.075;-147.67;263.677;-255.102;-141.345;-430.977;-255.052;74.0461;-429.046;-162.642;-140.877;-485.62;
G:\Tomo\2023-07\jmletang\JeanYvesPart\Proj\img_00096.tif;157.551;-147.67;262.797;-257.516;-141.345;-429.539;-257.455;74.0462;-427.608;-165.364;-140.877;-484.699;
G:\Tomo\2023-07\jmletang\JeanYvesPart\Proj\img_00097.tif;159.023;-147.67;261.91;-259.922;-141.345;-428.088;-259.85;74.0462;-426.157;-168.081;-140.877;-483.764;
G:\Tomo\2023-07\jmletang\JeanYvesPart\Proj\img_00098.tif;160.49;-147.67;261.013;-262.319;-141.345;-426.623;-262.237;74.0461;-424.693;-170.792;-140.877;-482.814;
G:\Tomo\2023-07\jmletang\JeanYvesPart\Proj\img_00099.tif;161.952;-147.67;260.109;-264.708;-141.345;-425.145;-264.615;74.0462;-423.215;-173.498;-140.877;-481.848;
G:\Tomo\2023-07\jmletang\JeanYvesPart\Proj\img_00100.tif;163.408;-147.67;259.196;-267.089;-141.345;-423.653;-266.985;74.0462;-421.724;-176.198;-140.877;-480.867;
G:\Tomo\2023-07\jmletang\JeanYvesPart\Proj\img_00101.tif;164.86;-147.67;258.275;-269.462;-141.345;-422.148;-269.347;74.0462;-420.219;-178.893;-140.877;-479.871;
G:\Tomo\2023-07\jmletang\JeanYvesPart\Proj\img_00102.tif;166.306;-147.67;257.346;-271.826;-141.345;-420.63;-271.7;74.0461;-418.702;-181.582;-140.877;-478.86;
G:\Tomo\2023-07\jmletang\JeanYvesPart\Proj\img_00103.tif;167.747;-147.67;256.409;-274.181;-141.345;-419.098;-274.045;74.0462;-417.171;-184.266;-140.877;-477.834;
G:\Tomo\2023-07\jmletang\JeanYvesPart\Proj\img_00104.tif;169.183;-147.67;255.464;-276.528;-141.345;-417.554;-276.38;74.0462;-415.627;-186.944;-140.877;-476.792;
G:\Tomo\2023-07\jmletang\JeanYvesPart\Proj\img_00105.tif;170.614;-147.67;254.511;-278.866;-141.345;-415.996;-278.708;74.0462;-414.07;-189.616;-140.877;-475.736;
G:\Tomo\2023-07\jmletang\JeanYvesPart\Proj\img_00106.tif;172.039;-147.67;253.55;-281.195;-141.345;-414.425;-281.026;74.0462;-412.5;-192.281;-140.877;-474.665;
G:\Tomo\2023-07\jmletang\JeanYvesPart\Proj\img_00107.tif;173.458;-147.67;252.581;-283.516;-141.345;-412.841;-283.336;74.0462;-410.917;-194.941;-140.877;-473.579;
G:\Tomo\2023-07\jmletang\JeanYvesPart\Proj\img_00108.tif;174.873;-147.67;251.604;-285.827;-141.345;-411.244;-285.637;74.0462;-409.321;-197.595;-140.877;-472.478;
G:\Tomo\2023-07\jmletang\JeanYvesPart\Proj\img_00109.tif;176.281;-147.67;250.619;-288.13;-141.345;-409.634;-287.929;74.0461;-407.712;-200.242;-140.877;-471.362;
G:\Tomo\2023-07\jmletang\JeanYvesPart\Proj\img_00110.tif;177.685;-147.67;249.626;-290.423;-141.345;-408.011;-290.211;74.0461;-406.09;-202.884;-140.877;-470.231;
G:\Tomo\2023-07\jmletang\JeanYvesPart\Proj\img_00111.tif;179.082;-147.67;248.625;-292.708;-141.345;-406.375;-292.485;74.0462;-404.456;-205.518;-140.877;-469.085;
G:\Tomo\2023-07\jmletang\JeanYvesPart\Proj\img_00112.tif;180.474;-147.67;247.617;-294.983;-141.345;-404.727;-294.749;74.0462;-402.809;-208.147;-140.877;-467.925;
G:\Tomo\2023-07\jmletang\JeanYvesPart\Proj\img_00113.tif;181.86;-147.67;246.6;-297.249;-141.345;-403.066;-297.004;74.0462;-401.149;-210.768;-140.877;-466.75;
G:\Tomo\2023-07\jmletang\JeanYvesPart\Proj\img_00114.tif;183.241;-147.67;245.576;-299.505;-141.345;-401.392;-299.25;74.0461;-399.476;-213.384;-140.877;-465.56;
G:\Tomo\2023-07\jmletang\JeanYvesPart\Proj\img_00115.tif;184.616;-147.67;244.544;-301.752;-141.345;-399.705;-301.486;74.0462;-397.791;-215.992;-140.877;-464.356;
G:\Tomo\2023-07\jmletang\JeanYvesPart\Proj\img_00116.tif;185.985;-147.67;243.505;-303.99;-141.345;-398.006;-303.713;74.0462;-396.094;-218.594;-140.877;-463.137;
G:\Tomo\2023-07\jmletang\JeanYvesPart\Proj\img_00117.tif;187.348;-147.67;242.458;-306.218;-141.345;-396.294;-305.931;74.0462;-394.384;-221.188;-140.877;-461.903;
G:\Tomo\2023-07\jmletang\JeanYvesPart\Proj\img_00118.tif;188.705;-147.67;241.403;-308.436;-141.345;-394.57;-308.138;74.0462;-392.661;-223.776;-140.877;-460.655;
G:\Tomo\2023-07\jmletang\JeanYvesPart\Proj\img_00119.tif;190.056;-147.67;240.34;-310.645;-141.345;-392.834;-310.336;74.0462;-390.926;-226.357;-140.877;-459.392;
G:\Tomo\2023-07\jmletang\JeanYvesPart\Proj\img_00120.tif;191.402;-147.67;239.27;-312.844;-141.345;-391.085;-312.524;74.0461;-389.179;-228.93;-140.877;-458.115;
G:\Tomo\2023-07\jmletang\JeanYvesPart\Proj\img_00121.tif;192.741;-147.67;238.193;-315.033;-141.345;-389.324;-314.703;74.0462;-387.42;-231.497;-140.877;-456.824;
G:\Tomo\2023-07\jmletang\JeanYvesPart\Proj\img_00122.tif;194.074;-147.67;237.108;-317.212;-141.345;-387.55;-316.871;74.0462;-385.648;-234.056;-140.877;-455.518;
G:\Tomo\2023-07\jmletang\JeanYvesPart\Proj\img_00123.tif;195.401;-147.67;236.015;-319.381;-141.345;-385.765;-319.03;74.0462;-383.864;-236.608;-140.877;-454.198;
G:\Tomo\2023-07\jmletang\JeanYvesPart\Proj\img_00124.tif;196.722;-147.67;234.916;-321.54;-141.345;-383.967;-321.178;74.0462;-382.069;-239.152;-140.877;-452.863;
G:\Tomo\2023-07\jmletang\JeanYvesPart\Proj\img_00125.tif;198.037;-147.67;233.808;-323.689;-141.345;-382.157;-323.316;74.0462;-380.261;-241.689;-140.877;-451.515;
G:\Tomo\2023-07\jmletang\JeanYvesPart\Proj\img_00126.tif;199.346;-147.67;232.694;-325.828;-141.345;-380.335;-325.445;74.0462;-378.441;-244.218;-140.877;-450.152;
G:\Tomo\2023-07\jmletang\JeanYvesPart\Proj\img_00127.tif;200.648;-147.67;231.572;-327.957;-141.345;-378.501;-327.563;74.0462;-376.609;-246.74;-140.877;-448.774;
G:\Tomo\2023-07\jmletang\JeanYvesPart\Proj\img_00128.tif;201.944;-147.67;230.442;-330.075;-141.345;-376.655;-329.67;74.0462;-374.766;-249.253;-140.877;-447.383;
G:\Tomo\2023-07\jmletang\JeanYvesPart\Proj\img_00129.tif;203.233;-147.67;229.306;-332.183;-141.345;-374.798;-331.767;74.0462;-372.911;-251.759;-140.877;-445.978;
G:\Tomo\2023-07\jmletang\JeanYvesPart\Proj\img_00130.tif;204.517;-147.67;228.162;-334.28;-141.345;-372.928;-333.854;74.0462;-371.044;-254.257;-140.877;-444.559;
G:\Tomo\2023-07\jmletang\JeanYvesPart\Proj\img_00131.tif;205.793;-147.67;227.011;-336.367;-141.345;-371.047;-335.93;74.0461;-369.165;-256.747;-140.877;-443.125;
G:\Tomo\2023-07\jmletang\JeanYvesPart\Proj\img_00132.tif;207.064;-147.67;225.853;-338.443;-141.345;-369.154;-337.996;74.0462;-367.274;-259.229;-140.877;-441.678;
G:\Tomo\2023-07\jmletang\JeanYvesPart\Proj\img_00133.tif;208.327;-147.67;224.688;-340.509;-141.345;-367.25;-340.051;74.0461;-365.372;-261.703;-140.877;-440.217;
G:\Tomo\2023-07\jmletang\JeanYvesPart\Proj\img_00134.tif;209.585;-147.67;223.516;-342.564;-141.345;-365.334;-342.096;74.0462;-363.459;-264.168;-140.877;-438.742;
G:\Tomo\2023-07\jmletang\JeanYvesPart\Proj\img_00135.tif;210.835;-147.67;222.336;-344.608;-141.345;-363.406;-344.129;74.0462;-361.534;-266.625;-140.877;-437.253;
